categorie,product,eenheid,prijs_ex,btw,status,b2c
Groenten,Venkel,Kilo,1.65,9,normaal,TRUE
Groenten,Sperziebonen,Kilo,2.95,9,normaal,TRUE
Groenten,Haricots verts 250 gram,Pak,1.95,9,normaal,TRUE
Groenten,Spruiten schoon,Kilo,3.99,9,normaal,TRUE
Groenten,Pastinaak,Kilo,1.75,9,normaal,TRUE
Groenten,Rabarber,Kilo,2.95,9,seizoen,TRUE
Groenten,Asperges groen,Bos,3.95,9,seizoen,TRUE
Groenten,Asperges wit AA,Kilo,,9,dagprijs,TRUE
Groenten,Boerenkool struik,Kilo,,9,seizoen,TRUE
Groenten,Zuurkool 500 gram,Pak,0.99,9,normaal,TRUE
Groenten,Zuurkool,Emmer 10 ltr,12.95,9,normaal,FALSE
Tomaten,Trostomaten,Kilo,1.95,9,normaal,TRUE
Tomaten,Trostomaten,Doos 5 kg,8.99,9,normaal,FALSE
Tomaten,Pomodori tros,Kilo,1.75,9,normaal,TRUE
Tomaten,Vleestomaat,Kilo,2.25,9,normaal,TRUE
Tomaten,Cherrytomaten rood,Bak,0.75,9,normaal,TRUE
Tomaten,Cherrytomaten geel,Bak,0.99,9,normaal,TRUE
Tomaten,Cherry mix kleur,Doos 1 kg,8.95,9,normaal,FALSE
Vruchtgroenten,Komkommer,Stuk,0.60,9,normaal,TRUE
Vruchtgroenten,Courgette groen,Stuk,0.69,9,normaal,TRUE
Vruchtgroenten,Aubergine,Kilo,1.95,9,normaal,TRUE
Vruchtgroenten,Paprika rood,Kilo,2.50,9,normaal,TRUE
Vruchtgroenten,Paprika geel,Kilo,2.50,9,normaal,TRUE
Vruchtgroenten,Paprika groen,Kilo,2.50,9,normaal,TRUE
Vruchtgroenten,Spaanse peper,Kilo,5.95,9,normaal,TRUE
Vruchtgroenten,Jalapeno pepers,Kilo,6.99,9,normaal,FALSE
Sla,Kropsla,Stuk,0.99,9,normaal,TRUE
Sla,IJsbergsla,Krop,0.89,9,normaal,TRUE
Sla,Little gem 6 stuks,Pak,1.95,9,normaal,TRUE
Sla,Lollo rosso,Stuk,0.99,9,normaal,TRUE
Sla,Rucola gewassen 125 gram,Bak,0.99,9,normaal,TRUE
Sla,Veldsla 125 gram,Bak,0.99,9,normaal,TRUE
Sla,Baby spinazie 125 gram,Bak,0.95,9,normaal,TRUE
Sla,Slamix geplukt 500 gram,Zak,4.95,9,normaal,TRUE
Kruiden,Peterselie krul,Bos,0.99,9,normaal,TRUE
Kruiden,Koriander,Bos,0.65,9,normaal,TRUE
Kruiden,Munt,Bos,0.69,9,normaal,TRUE
Kruiden,Basilicum,Zak,1.39,9,normaal,TRUE
Kruiden,Basilicum plant,Pot,1.75,9,normaal,TRUE
Kruiden,Bieslook,Zak,1.39,9,normaal,TRUE
Kruiden,Rozemarijn,Zak,1.39,9,normaal,TRUE
Kruiden,Tijm,Zak,1.39,9,normaal,TRUE
Champignons,Champignons wit 250 gram,Pak,0.79,9,normaal,TRUE
Champignons,Champignons kastanje 250 gram,Pak,1.50,9,normaal,TRUE
Champignons,Champignons hotel,Kist 3 kg,7.50,9,normaal,FALSE
Champignons,Oesterzwam,Doos 1.5 kg,10.99,9,normaal,FALSE
Champignons,Shiitake,Doos 1.5 kg,14.99,9,normaal,FALSE
Champignons,Cantharellen,Kilo,,9,dagprijs,FALSE
Citrus,Citroen,Stuk,0.20,9,normaal,TRUE
Citrus,Limoen,Stuk,0.20,9,normaal,TRUE
Citrus,Sinaasappel handnavel,Kilo,1.75,9,normaal,TRUE
Citrus,Perssinaasappels,Doos 15 kg,12.95,9,normaal,FALSE
Citrus,Mandarijn,Kilo,1.75,9,seizoen,TRUE
Citrus,Gember,Kilo,3.95,9,normaal,TRUE
Hardfruit,Appel Elstar,Kilo,1.29,9,normaal,TRUE
Hardfruit,Appel Jonagold,Kilo,0.99,9,normaal,TRUE
Hardfruit,Appel Granny Smith,Kilo,1.50,9,normaal,TRUE
Hardfruit,Appel Pink Lady,Kilo,2.49,9,normaal,TRUE
Hardfruit,Peer Conference,Kilo,1.49,9,normaal,TRUE
Hardfruit,Stoofpeer Gieser Wildeman,Kilo,1.49,9,seizoen,TRUE
Zachtfruit,Aardbeien 500 gram,Bak,3.99,9,seizoen,TRUE
Zachtfruit,Blauwe bessen 125 gram,Bak,1.95,9,normaal,TRUE
Zachtfruit,Frambozen 125 gram,Bak,1.95,9,normaal,TRUE
Zachtfruit,Druiven wit pitloos,Kilo,1.95,9,normaal,TRUE
Zachtfruit,Druiven rood pitloos,Kilo,1.95,9,normaal,TRUE
Zachtfruit,Galiameloen,Stuk,1.49,9,normaal,TRUE
Zachtfruit,Watermeloen,Stuk,3.49,9,seizoen,TRUE
Exoten,Ananas,Stuk,1.75,9,normaal,TRUE
Exoten,Avocado ready to eat,Stuk,1.29,9,normaal,TRUE
Exoten,Banaan,Kilo,1.19,9,normaal,TRUE
Exoten,Mango ready to eat,Stuk,1.49,9,normaal,TRUE
Exoten,Kiwi gold,Stuk,0.35,9,normaal,TRUE
Exoten,Passievrucht,Stuk,0.35,9,normaal,TRUE
Exoten,Pompoen,Kilo,1.50,9,seizoen,TRUE
Gesneden,Winterpeen rasp 1 kg,Zak,2.95,9,normaal,TRUE
Gesneden,Witte kool rasp 1 kg,Zak,2.95,9,normaal,TRUE
Gesneden,Rode kool rasp 1 kg,Zak,2.95,9,normaal,TRUE
Gesneden,Fruitsalade vers 1 kg,Bak,8.95,9,normaal,TRUE
